PlayerID,Player,Team,Position,Cost,Selection,Form,Points,Goals,Assists,Minutes,ICT Index,Bonus,Clean Sheets,Dream Team,Goals Conceded,PPG,Saves,Yellow
BarnesLEIMID,Barnes,LEI,MID,6,0.002,0.5,1,0,0,29,1.9,0,0,0,0,1,0,0
PraetLEIMID,Praet,LEI,MID,5.5,0.001,0.5,1,0,0,17,0.5,0,0,0,0,1,0,0
AlissonLIVGKP,Alisson,LIV,GKP,5.9,0.109,0.5,1,0,0,38,0.6,0,0,0,0,1,2,0
OtamendiMCIDEF,Otamendi,MCI,DEF,5.4,0.012,0.5,1,0,0,90,8.3,0,0,0,2,1,0,0
FodenMCIMID,Foden,MCI,MID,5.5,0.006,0.5,1,0,0,10,0.1,0,0,0,0,1,0,0
WillemsNEWDEF,Willems,NEW,DEF,4.5,0.002,0.5,1,0,0,36,1.9,0,0,0,1,1,0,0
KrafthNEWDEF,Krafth,NEW,DEF,4.5,0.001,0.5,1,0,0,90,1.6,0,0,0,3,1,0,0
Saint-MaximinNEWMID,Saint-Maximin,NEW,MID,5.5,0.005,0.5,1,0,0,23,0,0,0,0,0,1,0,0
MutoNEWFWD,Muto,NEW,FWD,5.5,0.002,0.5,1,0,0,23,0.3,0,0,0,1,1,0,0
AaronsNORDEF,Aarons,NOR,DEF,4.5,0.027,0.5,1,0,0,180,6.3,0,0,0,5,0.5,0,1
ByramNORDEF,Byram,NOR,DEF,4.5,0.001,0.5,1,0,0,1,0.1,0,0,0,1,1,0,0
VrancicNORMID,Vrancic,NOR,MID,6.4,0.002,0.5,1,0,0,6,3.1,0,0,0,1,1,0,0
HernándezNORMID,Hernández,NOR,MID,5.5,0.002,0.5,1,0,0,20,2.1,0,0,0,0,1,0,0
TetteyNORMID,Tettey,NOR,MID,4.5,0.002,0.5,1,0,0,3,0.2,0,0,0,1,1,0,0
DrmicNORFWD,Drmic,NOR,FWD,5.5,0.001,0.5,1,0,0,7,0.2,0,0,0,0,1,0,0
JagielkaSHUDEF,Jagielka,SHU,DEF,4.5,0.007,0.5,1,0,0,1,0.5,0,0,0,0,1,0,0
StephensSOUDEF,Stephens,SOU,DEF,4.5,0.001,0.5,1,0,0,72,1.3,0,0,0,2,1,0,0
YoshidaSOUDEF,Yoshida,SOU,DEF,4.5,0.004,0.5,1,0,0,90,5,0,0,0,2,1,0,0
ArmstrongSOUMID,Armstrong,SOU,MID,5.5,0.002,0.5,1,0,0,22,0.1,0,0,0,1,1,0,0
BoufalSOUMID,Boufal,SOU,MID,5.5,0.001,0.5,1,0,0,17,2.4,0,0,0,1,1,0,0
ObafemiSOUFWD,Obafemi,SOU,FWD,5,0.003,0.5,1,0,0,24,0.4,0,0,0,2,1,0,0
Lo CelsoTOTMID,Lo Celso,TOT,MID,7.5,0.005,0.5,1,0,0,5,0,0,0,0,0,1,0,0
NkoudouTOTMID,Nkoudou,TOT,MID,5,0,0.5,1,0,0,2,1.8,0,0,0,0,1,0,0
CleverleyWATMID,Cleverley,WAT,MID,5,0.001,0.5,1,0,0,11,0.3,0,0,0,0,1,0,0
SuccessWATFWD,Success,WAT,FWD,5,0.008,0.5,1,0,0,15,0,0,0,0,1,1,0,0
WelbeckWATFWD,Welbeck,WAT,FWD,6,0.002,0.5,1,0,0,23,0.9,0,0,0,0,1,0,0
MasuakuWHUDEF,Masuaku,WHU,DEF,4.5,0.004,0.5,1,0,0,90,2,0,0,0,1,1,0,1
FleckSHUMID,Fleck,SHU,MID,5,0.001,1,2,0,0,118,5.5,0,0,0,1,1,0,1
McBurnieSHUFWD,McBurnie,SHU,FWD,6,0.001,1,2,0,0,61,2.7,0,0,0,0,1,0,0
VestergaardSOUDEF,Vestergaard,SOU,DEF,5,0.002,1,2,0,0,180,8.9,0,0,0,5,1,0,0
BertrandSOUDEF,Bertrand,SOU,DEF,5,0.01,1,2,0,0,166,2.3,0,0,0,5,1,0,0
ValerySOUDEF,Valery,SOU,DEF,5,0.004,1,2,0,0,180,8.8,0,0,0,5,1,0,0
BednarekSOUDEF,Bednarek,SOU,DEF,4.5,0.007,1,2,0,0,180,5.9,0,0,0,5,1,0,0
SkippTOTMID,Skipp,TOT,MID,4.5,0.006,1,2,0,0,2,0.5,0,0,0,0,1,0,0
HolebasWATDEF,Holebas,WAT,DEF,5,0.034,1,2,0,0,180,7,0,0,0,4,1,0,1
DoucouréWATMID,Doucouré,WAT,MID,5.9,0.025,1,2,0,0,180,6.1,0,0,0,4,1,0,0
PereyraWATMID,Pereyra,WAT,MID,5.9,0.03,1,2,0,0,135,7.4,0,0,0,3,1,0,1
OgbonnaWHUDEF,Ogbonna,WHU,DEF,4.5,0.003,1,2,0,0,90,3.2,0,0,0,1,2,0,0
FredericksWHUDEF,Fredericks,WHU,DEF,4.5,0.003,1,2,0,0,180,3.8,0,0,0,6,1,0,0
DiopWHUDEF,Diop,WHU,DEF,4.5,0.036,1,2,0,0,180,4.8,0,0,0,6,1,0,0
AntonioWHUMID,Antonio,WHU,MID,7,0.015,1,2,0,0,90,8.2,0,0,0,2,1,0,0
WilshereWHUMID,Wilshere,WHU,MID,5,0.005,1,2,0,0,100,0.6,0,0,0,2,1,0,0
HallerWHUFWD,Haller,WHU,FWD,7.5,0.031,1,2,0,0,90,0,0,0,0,5,2,0,0
CutroneWOLFWD,Cutrone,WOL,FWD,5.9,0.012,1,2,0,0,15,0.5,0,0,0,0,1,0,0
KolasinacARSDEF,Kolasinac,ARS,DEF,5.5,0.01,0.5,1,0,0,19,0.3,0,0,0,0,1,0,0
David LuizARSDEF,David Luiz,ARS,DEF,6,0.083,0.5,1,0,0,90,3.6,0,0,0,1,1,0,1
TorreiraARSMID,Torreira,ARS,MID,5,0.018,0.5,1,0,0,7,2,0,0,0,0,1,0,0
MartinelliARSFWD,Martinelli,ARS,FWD,4.5,0.017,0.5,1,0,0,6,0,0,0,0,0,1,0,0
DavisAVLMID,Davis,AVL,MID,4.5,0.004,0.5,1,0,0,3,0,0,0,0,0,1,0,0
KodjiaAVLFWD,Kodjia,AVL,FWD,5.5,0.003,0.5,1,0,0,16,0.2,0,0,0,2,1,0,0
SurmanBOUMID,Surman,BOU,MID,5,0.001,0.5,1,0,0,45,0.6,0,0,0,1,1,0,0
BernardoBHADEF,Bernardo,BHA,DEF,4.5,0.002,0.5,1,0,0,1,0,0,0,0,0,1,0,0
MooyBHAMID,Mooy,BHA,MID,5,0.003,0.5,1,0,0,5,0.1,0,0,0,0,1,0,0
ZoumaCHEDEF,Zouma,CHE,DEF,5,0.028,0.5,1,0,0,180,3.5,0,0,0,5,0.5,0,1
WillianCHEMID,Willian,CHE,MID,7,0.006,0.5,1,0,0,19,0.5,0,0,0,0,1,0,0
BarkleyCHEMID,Barkley,CHE,MID,6,0.059,0.5,1,0,0,57,4,0,0,0,1,1,0,0
SchluppCRYMID,Schlupp,CRY,MID,5.5,0.001,0.5,1,0,0,25,1.4,0,0,0,0,1,0,0
RicoBOUDEF,Rico,BOU,DEF,4,0.057,1,2,0,0,90,4.1,0,0,0,1,2,0,0
BillingBOUMID,Billing,BOU,MID,5,0.002,1,2,0,0,135,6.3,0,0,0,1,1,0,1
SolankeBOUFWD,Solanke,BOU,FWD,5.5,0.005,1,2,0,0,15,1.5,0,0,0,0,1,0,0
LocadiaBHAFWD,Locadia,BHA,FWD,5.5,0.003,1,2,0,0,63,2.4,0,1,0,0,2,0,0
LennonBURMID,Lennon,BUR,MID,5,0.001,1,2,0,0,24,0.6,0,0,0,0,1,0,0
RodriguezBURFWD,Rodriguez,BUR,FWD,5.9,0.004,1,2,0,0,35,1,0,0,0,1,1,0,0
KepaCHEGKP,Kepa,CHE,GKP,5.5,0.057,1,2,0,0,180,3,0,0,0,5,1,3,0
AzpilicuetaCHEDEF,Azpilicueta,CHE,DEF,6,0.075,1,2,0,0,180,9.9,0,0,0,5,1,0,0
EmersonCHEDEF,Emerson,CHE,DEF,5.5,0.019,1,2,0,0,180,14,0,0,0,5,1,0,0
ChristensenCHEDEF,Christensen,CHE,DEF,5,0.011,1,2,0,0,180,4.7,0,0,0,5,1,0,0
JorginhoCHEMID,Jorginho,CHE,MID,5,0.038,1,2,0,0,142,3.3,0,0,0,4,1,0,2
KantéCHEMID,Kanté,CHE,MID,5,0.079,1,2,0,0,107,6,0,0,0,2,1,0,1
AbrahamCHEFWD,Abraham,CHE,FWD,7,0.023,1,2,0,0,94,3.9,0,0,0,3,1,0,1
WickhamCRYFWD,Wickham,CRY,FWD,4.5,0.064,1,2,0,0,15,0.2,0,0,0,0,1,0,0
AyewCRYFWD,Ayew,CRY,FWD,5,0.03,1,2,0,0,64,4.1,0,1,0,0,2,0,0
KeanEVEFWD,Kean,EVE,FWD,7,0.052,1,2,0,0,39,0.5,0,0,0,0,1,0,0
FuchsLEIDEF,Fuchs,LEI,DEF,4.5,0.004,1,2,0,0,90,4.3,0,0,0,1,2,0,0
AlbrightonLEIMID,Albrighton,LEI,MID,5.5,0.003,1,2,0,0,24,4.1,0,0,0,0,1,0,0
GomezLIVDEF,Gomez,LIV,DEF,5.5,0.019,1,2,0,0,90,2.6,0,0,0,1,2,0,0
MatipLIVDEF,Matip,LIV,DEF,5.4,0.01,1,2,0,0,90,3.5,0,0,0,1,2,0,0
ChamberlainLIVMID,Chamberlain,LIV,MID,6.4,0.004,1,2,0,0,88,3.4,0,0,0,1,2,0,0
Bernardo SilvaMCIMID,Bernardo Silva,MCI,MID,7.9,0.19,1,2,0,0,79,12,0,0,0,2,2,0,0
MataMUNMID,Mata,MUN,MID,6.5,0.004,1,2,0,0,13,0.2,0,0,0,0,1,0,0
GreenwoodMUNFWD,Greenwood,MUN,FWD,4.5,0.158,1,2,0,0,5,2.3,0,0,0,0,1,0,0
DummettNEWDEF,Dummett,NEW,DEF,4.5,0.002,1,2,0,0,180,7.1,0,0,0,4,1,0,1
ManquilloNEWDEF,Manquillo,NEW,DEF,4.5,0.002,1,2,0,0,90,2.2,0,0,0,1,2,0,0
Ki Sung-yuengNEWMID,Ki Sung-yueng,NEW,MID,5,0.001,1,2,0,0,73,2.5,0,0,0,2,2,0,0
GodfreyNORDEF,Godfrey,NOR,DEF,4.5,0.002,1,2,0,0,180,4.9,0,0,0,5,1,0,0
McLeanNORMID,McLean,NOR,MID,5,0.002,1,2,0,0,90,1.2,0,0,0,4,2,0,0
LeitnerNORMID,Leitner,NOR,MID,4.5,0.003,1,2,0,0,122,4.5,0,0,0,1,1,0,1
KrulNORGKP,Krul,NOR,GKP,4.5,0.013,1.5,3,0,0,180,5.6,0,0,0,5,1.5,6,0
FreemanSHUMID,Freeman,SHU,MID,5.5,0.001,1.5,3,0,0,73,4,0,1,0,0,1.5,0,1
RobinsonSHUMID,Robinson,SHU,MID,5.5,0.008,1.5,3,0,0,145,5.8,0,0,0,1,1.5,0,0
